time_sec,cos_sim_adjacent
1068.067000,0.946740
1069.068000,0.718268
1070.069000,0.672654
1071.070000,0.690610
1072.071000,0.648676
1073.072000,0.604171
1074.073000,0.916811
1075.074000,0.875239
1076.075000,0.627077
1077.076000,0.706870
1078.077000,0.708979
1079.078000,0.655679
1080.079000,0.697536
1081.080000,0.973445
1082.081000,0.827737
1083.082000,0.959388
1084.083000,0.981746
1085.084000,0.983072
1086.085000,0.979311
1087.086000,0.855716
1088.087000,0.580046
1089.088000,0.667356
1090.089000,0.608119
1091.090000,0.768147
1092.091000,0.694611
1093.092000,0.654951
1094.093000,0.892251
1095.094000,0.852562
1096.095000,0.781616
1097.096000,0.655418
1098.097000,0.698218
1099.098000,0.804615
1100.099000,0.956036
1101.100000,0.852022
1102.101000,0.896308
1103.102000,0.757387
1104.103000,0.536973
1105.104000,0.622938
1106.105000,0.894029
1107.106000,0.793717
1108.107000,0.915036
1109.108000,0.805604
1110.109000,0.642471
1111.110000,0.675566
1112.111000,0.861543
1113.112000,0.881147
1114.113000,0.693847
1115.114000,0.930539
1116.115000,0.671779
1117.116000,0.701829
1118.117000,0.575080
1119.118000,0.814643
1120.119000,0.955888
1121.120000,0.932303
1122.121000,0.861852
1123.122000,0.675540
1124.123000,0.712677
1125.124000,0.884721
1126.125000,0.635769
1127.126000,0.679880
1128.127000,0.889308
1129.128000,0.867240
1130.129000,0.636434
1131.130000,0.661711
1132.131000,0.843846
1133.132000,0.864156
1134.133000,0.940316
1135.134000,0.950040
1136.135000,0.935879
1137.136000,0.918404
1138.137000,0.944306
1139.138000,0.936280
1140.139000,0.785152
1141.140000,0.763464
1142.141000,0.826833
1143.142000,0.882056
1144.143000,0.707972
1145.144000,0.902618
1146.145000,0.699479
1147.146000,0.877930
1148.147000,0.866939
1149.148000,0.913061
1150.149000,0.745215
1151.150000,0.737733
1152.151000,0.946523
1153.152000,0.929499
1154.153000,0.737817
1155.154000,0.917869
1156.155000,0.898475
1157.156000,0.727760
1158.157000,0.940331
1159.158000,0.841682
1160.159000,0.546673
1161.160000,0.953474
1162.161000,0.738373
1163.162000,0.982834
1164.163000,0.652006
1165.164000,0.662268
1166.165000,0.733686
1167.166000,0.833170
1168.167000,0.954342
1169.168000,0.820825
1170.169000,0.958692
1171.170000,0.719772
